id,name,group,control,scope,backend,implementation,runtime_verified,note
native.money_floor,无限金钱（最低余额）,金钱 / 成长,TOGGLE,freeroam,NATIVE_CANDIDATE,IMPLEMENTED_CANDIDATE_NOT_GAME_VERIFIED,False,
native.skill_floor,本体 / DLC 普通技能点最低值,金钱 / 成长,TOGGLE,freeroam,NATIVE_CANDIDATE,IMPLEMENTED_CANDIDATE_NOT_GAME_VERIFIED,False,不是蜘蛛坦克 / 疯狂 / 孤独技能树；这些独立记录尚未确定。
native.cash_add,增加金钱,金钱 / 成长,ACTION,freeroam,NATIVE_CANDIDATE,IMPLEMENTED_CANDIDATE_NOT_GAME_VERIFIED,False,
native.skill_add,增加普通技能点,金钱 / 成长,ACTION,freeroam,NATIVE_CANDIDATE,IMPLEMENTED_CANDIDATE_NOT_GAME_VERIFIED,False,
native.xp_add,增加普通经验,金钱 / 成长,ACTION,freeroam,NATIVE_CANDIDATE,IMPLEMENTED_CANDIDATE_NOT_GAME_VERIFIED,False,
native.battery_full,无限电池（补到当前容量）,玩家 / 资源,TOGGLE,freeroam,NATIVE_CANDIDATE,IMPLEMENTED_CANDIDATE_NOT_GAME_VERIFIED,False,
native.car_health,载具生命锁定,载具,TOGGLE,vehicle,NATIVE_CANDIDATE,IMPLEMENTED_CANDIDATE_NOT_GAME_VERIFIED,False,锁定当前稳定捕获的对象。不能据此证明仅作用玩家车辆；离车前先关闭。
native.spider_energy,蜘蛛坦克无限能量,数字之旅,TOGGLE,spider,NATIVE_CANDIDATE,IMPLEMENTED_CANDIDATE_NOT_GAME_VERIFIED,False,
native.rep_good,好声誉（锁定 +600）,声誉 / 警察,TOGGLE,freeroam,NATIVE_CANDIDATE,IMPLEMENTED_CANDIDATE_NOT_GAME_VERIFIED,False,
native.rep_bad,坏名声（锁定 -600）,声誉 / 警察,TOGGLE,freeroam,NATIVE_CANDIDATE,IMPLEMENTED_CANDIDATE_NOT_GAME_VERIFIED,False,
